Price,Address,Metro,Summary,General Information,Building Information,Price per meter
183 990 660 ₽,"Москва, ЦАО, р-н Тверской, Ильинка 3/8 жилой комплекс",Площадь Революции,"86,87 м²;Общая;55,3 м²;Жилая;1 из 5;Этаж;3 кв. 2024;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка Апартаменты;Высота потолков;3,6 м;Вид из окон;Во двор;Отделка;Черновая","Сдача комплекса;Сдача в 3 кв. 2024;Застройщик;ИНТЕКО;Класс;Премиум;Кол-во корпусов;7 корпусов;Тип дома;Монолитно-кирпичный, монолитный;Парковка;Подземная, гостевая;Отделка;Без отделки, черновая",2 118 000 ₽/м²
502 913 052 ₽,"Москва, ЦАО, р-н Тверской, Ильинка 3/8 жилой комплекс",Площадь Революции,"186,14 м²;Общая;119,5 м²;Жилая;4 из 5;Этаж;3 кв. 2024;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка Апартаменты;Высота потолков;3,6 м;Вид из окон;Во двор;Отделка;Черновая","Сдача комплекса;Сдача в 3 кв. 2024;Застройщик;ИНТЕКО;Класс;Премиум;Кол-во корпусов;7 корпусов;Тип дома;Монолитно-кирпичный, монолитный;Парковка;Подземная, гостевая;Отделка;Без отделки, черновая",2 701 800 ₽/м²
248 900 000 ₽,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 11Д",Фрунзенская,"196,4 м²;Общая;5 из 13;Этаж",Тип жилья;Вторичка;Планировка;Изолированная;Санузел;3 совмещенных;Ремонт;Без ремонта,Тип дома;Монолитно кирпичный;Парковка;Многоуровневая,1 267 312 ₽/м²
46 484 990 ₽,"Москва, НАО (Новомосковский), Десеновское поселение, Ватутинки поселок, Рашен Дизайн Дистрикт жилой комплекс, к4А",Ольховая,"144,19 м²;Общая;84,1 м²;Жилая;10 м²;Кухня;13 из 13;Этаж;2 кв. 2023;Срок сдачи;Чистовая;Отделка","Тип жилья;Новостройка;Высота потолков;3,1 м;Санузел;4 совмещенных;Балкон/лоджия;1 балкон, 2 лоджии;Отделка;Чистовая","Сдача комплекса;Сдача в 2 кв. 2023;Застройщик;Группа Родина;Класс;Бизнес;Кол-во корпусов;9 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки, чистовая",322 387 ₽/м²
19 553 180 ₽,"Москва, НАО (Новомосковский), Десеновское поселение, Ватутинки поселок, Рашен Дизайн Дистрикт жилой комплекс",Ольховая,"83,78 м²;Общая;46,7 м²;Жилая;11 м²;Кухня;6 из 13;Этаж;2 кв. 2023;Срок сдачи;Без отделки;Отделка",Тип жилья;Новостройка;Санузел;2 совмещенных;Балкон/лоджия;1 балкон;Вид из окон;Во двор;Отделка;Нет,"Сдача комплекса;Сдача в 2 кв. 2023;Застройщик;Группа Родина;Класс;Бизнес;Кол-во корпусов;9 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки, чистовая",233 387 ₽/м²
56 344 000 ₽,"Москва, СВАО, р-н Ростокино, Сельскохозяйственная ул.",Ботанический сад,"127,6 м²;Общая;51 м²;Жилая;14 из 21;Этаж;4 кв. 2024;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка;Высота потолков;3,02 м;Балкон/лоджия;1 балкон;Вид из окон;Во двор;Отделка;Нет",Сдача комплекса;Сдача в 2024—2026;Застройщик;Группа Родина;Класс;Премиум;Кол-во корпусов;6 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки,441 567 ₽/м²
106 322 013 ₽,"Москва, ЗАО, р-н Дорогомилово, проезд Проектируемый № 1824",Фили,147 м²;Общая;34 из 46;Этаж;2026;Срок сдачи;Черновая;Отделка,"Тип жилья;Новостройка;Высота потолков;3,445 м;Отделка;Черновая","Сдача комплекса;Сдача в 2026—2027;Застройщик;Аеон Девелопмент;Класс;Премиум;Кол-во корпусов;5 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, предчистовая, черновая, чистовая",723 279 ₽/м²
262 962 000 ₽,"Москва, ЦАО, р-н Таганский, Славянская пл., 2/5/4с5",Китай-город,"208,7 м²;Общая;79,4 м²;Жилая;8 из 8;Этаж;4 кв. 2022;Срок сдачи;Чистовая;Отделка",Тип жилья;Новостройка Апартаменты;Высота потолков;3 м;Вид из окон;Во двор;Отделка;Чистовая,,1 260 000 ₽/м²
35 583 400 ₽,"Москва, СВАО, р-н Ростокино, Сельскохозяйственная ул.",Ботанический сад,"87,8 м²;Общая;35,1 м²;Жилая;2 из 21;Этаж;4 кв. 2024;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка;Высота потолков;3,02 м;Балкон/лоджия;1 балкон;Вид из окон;Во двор;Отделка;Нет",Сдача комплекса;Сдача в 2024—2026;Застройщик;Группа Родина;Класс;Премиум;Кол-во корпусов;6 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки,405 278 ₽/м²
174 494 300 ₽,"Москва, ЦАО, р-н Арбат, Поварская ул., 8/1к1",Арбатская,"183,1 м²;Общая;92,8 м²;Жилая;21,9 м²;Кухня;5 из 5;Этаж;2017;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;18.5-27.4-25.0-21.9 м²;Высота потолков;3,2 м;Санузел;3 совмещенных;Отделка;Нет",,953 000 ₽/м²
49 667 064 ₽,"Москва, ЗАО, р-н Дорогомилово, Ривер Парк Кутузовский жилой комплекс",Фили,"96,9 м²;Общая;10 из 45;Этаж;2026;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка;Высота потолков;3,115 м;Отделка;Нет","Сдача комплекса;Сдача в 2026—2027;Застройщик;Аеон Девелопмент;Класс;Премиум;Кол-во корпусов;5 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, предчистовая, черновая, чистовая",512 560 ₽/м²
40 293 971 ₽,"Москва, ВАО, р-н Преображенское, Преображенская Площадь жилой комплекс",Преображенская площадь,"95,29 м²;Общая;3 из 17;Этаж;3 кв. 2024;Срок сдачи;Без отделки;Отделка",Тип жилья;Новостройка;Отделка;Нет,,422 856 ₽/м²
88 612 500 ₽,"Москва, ЮЗАО, р-н Гагаринский, Ленинский просп., 38",Ленинский проспект,"141,78 м²;Общая;81,7 м²;Жилая;8,2 м²;Кухня;12 из 17;Этаж;4 кв. 2023;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;20.8-16.2-22.7 м²;Высота потолков;3,1 м;Санузел;4 совмещенных;Вид из окон;Во двор;Отделка;Черновая","Сдача комплекса;Сдача в 4 кв. 2023;Застройщик;Hutton Development;Класс;Премиум;Кол-во корпусов;3 корпуса;Тип дома;Монолитно-кирпичный, монолитный;Парковка;Подземная;Отделка;Предчистовая, черновая, чистовая",625 000 ₽/м²
90 726 400 ₽,"Москва, ЦАО, р-н Арбат, Поварская ул., 8/1к1",Арбатская,"102,4 м²;Общая;51,2 м²;Жилая;13,6 м²;Кухня;2 из 6;Этаж;2017;Срок сдачи;Без отделки;Отделка",Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;22.0-15.6-13.55 м²;Высота потолков;3 м;Санузел;3 совмещенных;Отделка;Нет,,886 000 ₽/м²
47 580 370 ₽,"Москва, ЮАО, р-н Даниловский, Подольское ш., 3",Тульская,"102,8 м²;Общая;64,6 м²;Жилая;8 из 13;Этаж;3 кв. 2024;Срок сдачи;Черновая;Отделка",Тип жилья;Новостройка Апартаменты;Высота потолков;3 м;Отделка;Черновая,"Сдача комплекса;Сдача в 3 кв. 2024;Застройщик;СЗ ЛОГОС;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Предчистовая, черновая",462 844 ₽/м²
74 990 000 ₽,"Москва, ЦАО, р-н Пресненский, Мантулинская ул., 9к6",Выставочная,83 м²;Общая;28 м²;Жилая;32 м²;Кухня;14 из 20;Этаж,Тип жилья;Вторичка;Площадь комнат;12-7-7 м²;Санузел;1 совмещенный;Балкон/лоджия;1 лоджия;Ремонт;Дизайнерский;Вид из окон;На улицу и двор,"Год постройки;2021;Лифты;1 пасс., 1 груз.;Аварийность;Нет",903 494 ₽/м²
90 491 771 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,"155,1 м²;Общая;3 из 13;Этаж;4 кв. 2015;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Нет","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",583 441 ₽/м²
56 900 000 ₽,"Москва, САО, р-н Аэропорт, Ленинградский просп., 36с39",Динамо,104 м²;Общая;74 м²;Жилая;20 м²;Кухня;3 из 15;Этаж,Тип жилья;Вторичка Апартаменты;Планировка;Смежно-изолированная;Высота потолков;3 м;Санузел;2 совмещенных;Ремонт;Дизайнерский;Вид из окон;На улицу и двор,Тип дома;Монолитно кирпичный;Лифты;Есть;Парковка;Открытая;Мусоропровод;Есть,547 115 ₽/м²
19 500 000 ₽,"Москва, СЗАО, р-н Хорошево-Мневники, Шелепихинская наб., 34к9",Шелепиха,42 м²;Общая;27 из 41;Этаж,,,464 286 ₽/м²
64 906 560 ₽,"Москва, ЮАО, р-н Даниловский, просп. Лихачева, 12к3",Технопарк,"111,6 м²;Общая;6 из 6;Этаж;4 кв. 2022;Срок сдачи",Тип жилья;Новостройка,"Сдача комплекса;Сдача в 4 кв. 2022, есть сданные;Застройщик;TEKTA GROUP;Класс;Бизнес;Кол-во корпусов;19 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки",581 600 ₽/м²
43 293 480 ₽,"Москва, ЮАО, р-н Даниловский, Шагал жилой комплекс",ЗИЛ,"134,5 м²;Общая;38,5 м²;Кухня;2 из 6;Этаж;4 кв. 2024;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка;Высота потолков;3,1 м;Вид из окон;Во двор;Отделка;Черновая","Сдача комплекса;Сдача в 2024—2025;Застройщик;Группа Эталон;Класс;Бизнес;Кол-во корпусов;20 корпусов;Тип дома;Монолитно-кирпичный, монолитный;Парковка;Подземная;Отделка;Без отделки, черновая",321 885 ₽/м²
181 590 922 ₽,"Москва, ЦАО, р-н Тверской, Ильинка 3/8 жилой комплекс",Площадь Революции,"78,86 м²;Общая;46,2 м²;Жилая;3 из 5;Этаж;3 кв. 2024;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка Апартаменты;Высота потолков;3,6 м;Вид из окон;Во двор;Отделка;Черновая","Сдача комплекса;Сдача в 3 кв. 2024;Застройщик;ИНТЕКО;Класс;Премиум;Кол-во корпусов;7 корпусов;Тип дома;Монолитно-кирпичный, монолитный;Парковка;Подземная, гостевая;Отделка;Без отделки, черновая",2 302 700 ₽/м²
15 177 020 ₽,"Москва, НАО (Новомосковский), Десеновское поселение, Ватутинки поселок, Рашен Дизайн Дистрикт жилой комплекс, к2А",Ольховая,"53,11 м²;Общая;26 м²;Жилая;14,4 м²;Кухня;9 из 14;Этаж;2 кв. 2023;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка;Высота потолков;3,1 м;Санузел;2 совмещенных;Балкон/лоджия;1 лоджия;Вид из окон;Во двор;Отделка;Нет","Сдача комплекса;Сдача в 2 кв. 2023;Застройщик;Группа Родина;Класс;Бизнес;Кол-во корпусов;9 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки, чистовая",285 766 ₽/м²
34 876 410 ₽,"Москва, ЮВАО, р-н Южнопортовый, Волгоградский просп., 32к4",Волгоградский проспект,"100,6 м²;Общая;54,4 м²;Жилая;24,7 м²;Кухня;28 из 30;Этаж;2023;Сдан;Чистовая;Отделка","Тип жилья;Новостройка;Планировка;Изолированная;Площадь комнат;16.0-13.4-12.7-12.3 м²;Высота потолков;2,87 м;Санузел;2 совмещенных;Вид из окон;Во двор;Отделка;Чистовая","Сдача комплекса;Сдача в 2023—2024, есть сданные;Застройщик;MR Group;Класс;Бизнес;Кол-во корпусов;11 корпусов;Тип дома;Монолитно-кирпичный, монолитный;Парковка;Подземная, гостевая;Отделка;Предчистовая, чистовая",346 684 ₽/м²
145 419 312 ₽,"Москва, ЦАО, р-н Замоскворечье, Космодамианская наб., 4/22С8",Новокузнецкая,"120,46 м²;Общая;48 м²;Жилая;32,6 м²;Кухня;3 из 6;Этаж;2024;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;16.58-15.31-16.07 м²;Высота потолков;3,6 м;Санузел;3 совмещенных;Отделка;Нет",Сдача комплекса;Сдача в 4 кв. 2024;Застройщик;Галс-Девелопмент;Класс;Премиум;Кол-во корпусов;2 корпуса;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки,1 207 200 ₽/м²
39 029 572 ₽,"Москва, ЦАО, р-н Замоскворечье, Воксхолл жилой комплекс",Павелецкая,"75 м²;Общая;45,3 м²;Жилая;8,4 м²;Кухня;4 из 20;Этаж;3 кв. 2025;Срок сдачи;Черновая;Отделка",Тип жилья;Новостройка;Высота потолков;3 м;Вид из окон;На улицу;Отделка;Черновая,,520 394 ₽/м²
150 000 000 ₽,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 15А",Фрунзенская,"177,5 м²;Общая;94,2 м²;Жилая;19,4 м²;Кухня;2 из 5;Этаж",Тип жилья;Вторичка;Планировка;Изолированная;Санузел;3 совмещенных;Ремонт;Без ремонта;Вид из окон;На улицу и двор,Тип дома;Монолитно кирпичный;Парковка;Многоуровневая,845 070 ₽/м²
29 969 600 ₽,"Москва, СВАО, р-н Ростокино, Сельскохозяйственная ул.",Ботанический сад,"67,2 м²;Общая;26,9 м²;Жилая;3 из 21;Этаж;4 кв. 2024;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка;Высота потолков;3,02 м;Балкон/лоджия;1 балкон;Вид из окон;Во двор;Отделка;Нет",Сдача комплекса;Сдача в 2024—2026;Застройщик;Группа Родина;Класс;Премиум;Кол-во корпусов;6 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки,445 976 ₽/м²
45 295 470 ₽,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39",Шелепиха,"99,99 м²;Общая;48,9 м²;Жилая;30,9 м²;Кухня;37 из 51;Этаж;4 кв. 2022;Срок сдачи",Тип жилья;Новостройка;Площадь комнат;11.57+18.27+9.23+9.82 м²;Высота потолков;3 м;Санузел;2 раздельных,"Сдача комплекса;Сдача в 2022—2024, есть сданные;Застройщик;КОРТРОС;Класс;Бизнес;Кол-во корпусов;10 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки",453 000 ₽/м²
80 043 425 ₽,"Москва, СВАО, р-н Алексеевский, Новоалексеевская ул., 16к1",Алексеевская,"153 м²;Общая;77,7 м²;Жилая;19,5 м²;Кухня;12 из 19;Этаж;3 кв. 2023;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка;Высота потолков;3,25 м;Вид из окон;Во двор;Отделка;Черновая","Сдача комплекса;Сдача в 3 кв. 2023, есть сданные;Застройщик;Группа Эталон;Класс;Бизнес;Кол-во корпусов;4 корпуса;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Черновая",523 160 ₽/м²
120 000 000 ₽,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 11Г",Фрунзенская,"85 м²;Общая;46,7 м²;Жилая;10,9 м²;Кухня;7 из 14;Этаж",Тип жилья;Вторичка;Планировка;Изолированная;Санузел;2 совмещенных;Балкон/лоджия;1 балкон;Ремонт;Евроремонт,Тип дома;Монолитно кирпичный;Парковка;Многоуровневая,1 411 765 ₽/м²
25 500 000 ₽,"Москва, СЗАО, р-н Хорошево-Мневники, Шелепихинская наб., 42к2",,"67,6 м²;Общая;15 из 27;Этаж;2020;Построен","Тип жилья;Вторичка;Планировка;Смежно-изолированная;Высота потолков;3,1 м;Санузел;2 раздельных;Ремонт;Без ремонта;Вид из окон;На улицу и двор","Год постройки;2020;Строительная серия;Индивидуальный проект;Тип перекрытий;Железобетонные;Подъезды;1;Лифты;3 пасс., 1 груз.;Отопление;Индивидуальный тепловой пункт;Аварийность;Нет;Парковка;Подземная;Мусоропровод;Есть",377 219 ₽/м²
62 191 800 ₽,"Москва, ЦАО, р-н Таганский, Славянская пл., 2/5/4с5",Китай-город,"104,7 м²;Общая;48,2 м²;Жилая;3 из 8;Этаж;4 кв. 2022;Срок сдачи;Чистовая;Отделка",Тип жилья;Новостройка Апартаменты;Высота потолков;3 м;Вид из окон;Во двор;Отделка;Чистовая,,594 000 ₽/м²
40 990 000 ₽,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/6",Аэропорт,72 м²;Общая;54 м²;Жилая;7 м²;Кухня;6 из 41;Этаж,"Тип жилья;Вторичка;Площадь комнат;15-32 м²;Санузел;1 совмещенный, 1 раздельный;Ремонт;Без ремонта;Вид из окон;На улицу",Год постройки;2021;Аварийность;Нет;Парковка;Подземная,569 306 ₽/м²
18 559 631 ₽,"Москва, ЮВАО, р-н Нижегородский, Н'айс Лофт жилой комплекс",Калитники,"66,59 м²;Общая;7 из 21;Этаж;1 кв. 2024;Срок сдачи",Тип жилья;Новостройка Апартаменты;Высота потолков;3 м,"Сдача комплекса;Сдача в 1 кв. 2024;Застройщик;Колди (Coldy);Класс;Бизнес;Кол-во корпусов;7 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, предчистовая, чистовая",278 715 ₽/м²
33 612 074 ₽,"Москва, ЗАО, р-н Дорогомилово, проезд Проектируемый № 1824",Фили,"63,5 м²;Общая;25 из 46;Этаж;2026;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка;Высота потолков;3,115 м;Отделка;Черновая","Сдача комплекса;Сдача в 2026—2027;Застройщик;Аеон Девелопмент;Класс;Премиум;Кол-во корпусов;5 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, предчистовая, черновая, чистовая",529 324 ₽/м²
82 301 780 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,"110,8 м²;Общая;9 из 13;Этаж;4 кв. 2015;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Нет","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",742 796 ₽/м²
45 126 368 ₽,"Москва, ЮЗАО, р-н Гагаринский, Ленинский просп., 38",Ленинский проспект,"87,59 м²;Общая;53,2 м²;Жилая;2,3 м²;Кухня;4 из 17;Этаж;4 кв. 2023;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;16.2-17.3 м²;Высота потолков;3,1 м;Санузел;3 совмещенных;Вид из окон;Во двор;Отделка;Черновая","Сдача комплекса;Сдача в 4 кв. 2023;Застройщик;Hutton Development;Класс;Премиум;Кол-во корпусов;3 корпуса;Тип дома;Монолитно-кирпичный, монолитный;Парковка;Подземная;Отделка;Предчистовая, черновая, чистовая",515 200 ₽/м²
99 000 000 ₽,"Москва, САО, р-н Беговой, Верхняя ул., 20к1",Белорусская,"126,7 м²;Общая;6 из 25;Этаж;2019;Построен",Тип жилья;Вторичка;Санузел;3 совмещенных;Ремонт;Дизайнерский;Вид из окон;На улицу и двор,"Год постройки;2018;Лифты;3 пасс., 1 груз.;Аварийность;Нет;Парковка;Подземная",781 373 ₽/м²
29 197 716 ₽,"Москва, ВАО, р-н Преображенское, Преображенская Площадь жилой комплекс",Преображенская площадь,"68,49 м²;Общая;4 из 17;Этаж;3 кв. 2024;Срок сдачи;Без отделки;Отделка",Тип жилья;Новостройка;Отделка;Нет,,426 306 ₽/м²
