Price,Address,Metro,Summary,General Information,Building Information
36 500 000 ₽,"Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 31",Студенческая,62 м²;Общая;11 м²;Кухня;7 из 8;Этаж;1937;Построен,"Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;20,5+16,5 м²;Высота потолков;3 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский",Год постройки;1937;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;4;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Есть;Газоснабжение;Центральное
34 900 000 ₽,"Москва, ЦАО, р-н Хамовники, ул. Тимура Фрунзе, 20",Парк Культуры,"53,3 м²;Общая;5 из 5;Этаж;1907;Построен","Тип жилья;Вторичка;Планировка;Смежно-изолированная;Высота потолков;3,1 м;Ремонт;Дизайнерский;Вид из окон;Во двор",Год постройки;1907;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;2;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет;Газоснабжение;Центральное
59 900 000 ₽,"Москва, ЦАО, р-н Мещанский, Цветной бул., 16/1",Трубная,"139 м²;Общая;12,5 м²;Кухня;2 из 4;Этаж;1996;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;2,8 м;Санузел;2 совмещенных;Балкон/лоджия;2 лоджии;Ремонт;Евроремонт;Вид из окон;На улицу и двор",Год постройки;1996;Строительная серия;Индивидуальный проект;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
59 900 000 ₽,"Москва, ЦАО, р-н Мещанский, Цветной бул., 16/1",Цветной бульвар,"138,7 м²;Общая;80 м²;Жилая;13 м²;Кухня;2 из 5;Этаж;1996;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;2,8 м;Санузел;3 совмещенных;Балкон/лоджия;2 лоджии;Ремонт;Евроремонт;Вид из окон;Во двор","Год постройки;1996;Строительная серия;Индивидуальный проект;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное"
10 841 000 ₽,"Москва, ЦАО, р-н Таганский, ул. Воронцово Поле, 12С3",Чкаловская,"31,11 м²;Общая;17,8 м²;Жилая;2 из 4;Этаж;1895;Построен",Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Дизайнерский,Тип дома;Кирпичный
74 500 000 ₽,"Москва, ЦАО, р-н Пресненский, Малая Бронная ул., 4",Тверская,120 м²;Общая;30 м²;Кухня;2 из 5;Этаж,"Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;3,5 м;Санузел;2 совмещенных;Ремонт;Дизайнерский;Вид из окон;На улицу и двор","Год постройки;1910;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;2;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное"
75 000 000 ₽,"Москва, ЦАО, р-н Пресненский, Малая Бронная ул., 4",Пушкинская,"114,2 м²;Общая;2 из 5;Этаж;1910;Построен","Тип жилья;Вторичка;Высота потолков;3,5 м;Санузел;1 совмещенный, 1 раздельный;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Год постройки;1910;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;2;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет;Газоснабжение;Центральное
21 900 000 ₽,"Москва, ВАО, р-н Сокольники, ул. Гастелло, 41",Электрозаводская,65 м²;Общая;40 м²;Жилая;10 м²;Кухня;9 из 11;Этаж;1957;Построен,Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;25-15 м²;Высота потолков;3 м;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;На улицу,Год постройки;1957;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;7;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет
59 000 000 ₽,"Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 26К1",Кутузовская,157 м²;Общая;21 м²;Кухня;5 из 10;Этаж;1947;Построен,"Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;3,2 м;Санузел;2 совмещенных;Балкон/лоджия;1 балкон;Ремонт;Евроремонт;Вид из окон;На улицу и двор",Год постройки;1944;Тип дома;Кирпичный;Подъезды;12;Лифты;Есть;Аварийность;Нет
80 000 000 ₽,"Москва, ЦАО, р-н Арбат, пер. Романов, 3С6",Библиотека им. Ленина,"107 м²;Общая;14,7 м²;Кухня;3 из 5;Этаж","Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;4,4 м;Санузел;2 совмещенных;Ремонт;Евроремонт;Вид из окон;Во двор","Год постройки;1900;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;3;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное"
