Price,Address,Metro,Summary,General Information,Building Information,Price per meter
135 000 000 ₽,"Москва, ЦАО, р-н Басманный, ул. Покровка, 45С4",Красные ворота,"150 м²;Общая;89,5 м²;Жилая;15,5 м²;Кухня;3 из 5;Этаж;1906;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;28,6-14-16-16,9-14 м²;Высота потолков;3,2 м;Санузел;1 совмещенный, 1 раздельный;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Год постройки;1906;Строительная серия;Индивидуальный проект;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;2;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет;Газоснабжение;Центральное,900 000 ₽/м²
33 900 000 ₽,"Москва, ЦАО, р-н Хамовники, ул. Тимура Фрунзе, 20",Парк Культуры,"53,3 м²;Общая;5 из 5;Этаж;1907;Построен","Тип жилья;Вторичка;Планировка;Смежно-изолированная;Высота потолков;3,1 м;Ремонт;Дизайнерский;Вид из окон;Во двор",Год постройки;1907;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;2;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет;Газоснабжение;Центральное,636 023 ₽/м²
38 000 000 ₽,"Москва, ЦАО, р-н Тверской, Долгоруковская ул., 35",Новослободская,"101,4 м²;Общая;75,8 м²;Жилая;10,1 м²;Кухня;4 из 5;Этаж;1906;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;15.9-16.7-10.3-15.5-17.4 м²;Высота потолков;3,5 м;Санузел;1 раздельный;Ремонт;Без ремонта;Вид из окон;Во двор",Год постройки;1906;Тип дома;Кирпичный;Тип перекрытий;Смешанные;Подъезды;4;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное,374 753 ₽/м²
36 500 000 ₽,"Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 31",Студенческая,62 м²;Общая;11 м²;Кухня;7 из 8;Этаж;1937;Построен,"Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;20,5+16,5 м²;Высота потолков;3 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский",Год постройки;1937;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;4;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Есть;Газоснабжение;Центральное,588 710 ₽/м²
10 178 000 ₽,"Москва, ЦАО, р-н Таганский, ул. Воронцово Поле, 12С3",Чкаловская,"29,19 м²;Общая;16,7 м²;Жилая;2 из 4;Этаж",Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Дизайнерский,Тип дома;Кирпичный,348 681 ₽/м²
10 268 000 ₽,"Москва, ЦАО, р-н Таганский, ул. Воронцово Поле, 12С3",Чкаловская,"29,26 м²;Общая;16,7 м²;Жилая;3 из 5;Этаж",Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Дизайнерский,Тип дома;Кирпичный,350 923 ₽/м²
24 700 000 ₽,"Москва, ЦАО, р-н Красносельский, Краснопрудная ул., 1",Комсомольская,"83,1 м²;Общая;47,5 м²;Жилая;8,4 м²;Кухня;9 из 9;Этаж;1961;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;17,5+17,5+12,5 м²;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Год постройки;1961;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;6;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное,297 232 ₽/м²
55 000 000 ₽,"Москва, ЗАО, р-н Дорогомилово, наб. Тараса Шевченко, 1",Киевская,"117,7 м²;Общая;112 м²;Жилая;7 из 8;Этаж;1953;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;3,2 м;Санузел;1 совмещенный;Балкон/лоджия;3 лоджии;Ремонт;Дизайнерский;Вид из окон;На улицу",Год постройки;1938;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;13;Лифты;13 всего;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет,467 290 ₽/м²
65 000 000 ₽,"Москва, ЦАО, р-н Хамовники, Фрунзенская наб., 36/2",Фрунзенская,"135,7 м²;Общая;100 м²;Жилая;20 м²;Кухня;10 из 10;Этаж;1959;Построен",Тип жилья;Вторичка Пентхаус;Планировка;Изолированная;Высота потолков;3 м;Санузел;2 совмещенных;Ремонт;Евроремонт;Вид из окон;На улицу и двор,Год постройки;1959;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;12;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное,478 998 ₽/м²
54 500 000 ₽,"Москва, ЦАО, р-н Пресненский, Никитский бул., 8",Арбатская,"142,6 м²;Общая;100 м²;Жилая;20 м²;Кухня;3 из 6;Этаж;1900;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;3,8 м;Санузел;2 совмещенных;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;На улицу и двор",Год постройки;1900;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;3;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное,382 188 ₽/м²
